Date,Close/Last,Volume,Open,High,Low
10/08/2021,$142.9,58773160,$144.03,$144.1781,$142.56
10/07/2021,$143.29,61732660,$143.06,$144.215,$142.72
10/06/2021,$142,83221120,$139.47,$142.15,$138.37
10/05/2021,$141.11,80861060,$139.49,$142.24,$139.36
10/04/2021,$139.14,98322010,$141.76,$142.21,$138.27
10/01/2021,$142.65,94639580,$141.9,$142.92,$139.1101
09/30/2021,$141.5,89056660,$143.66,$144.378,$141.28
09/29/2021,$142.83,74602040,$142.47,$144.45,$142.03
09/28/2021,$141.91,108972300,$143.25,$144.75,$141.69
09/27/2021,$145.37,74150730,$145.47,$145.96,$143.82
09/24/2021,$146.92,53477870,$145.66,$147.4701,$145.56
09/23/2021,$146.83,64838170,$146.65,$147.08,$145.64
09/22/2021,$145.85,76404340,$144.45,$146.43,$143.7001
09/21/2021,$143.43,75833960,$143.93,$144.6,$142.78
09/20/2021,$142.94,123478900,$143.8,$144.84,$141.27
09/17/2021,$146.06,129868800,$148.82,$148.82,$145.76
09/16/2021,$148.79,68034150,$148.44,$148.97,$147.221
09/15/2021,$149.03,83281320,$148.56,$149.44,$146.37
09/14/2021,$148.12,109296300,$150.35,$151.07,$146.91
09/13/2021,$149.55,102404300,$150.63,$151.42,$148.75
09/10/2021,$148.97,140893200,$155,$155.48,$148.7
